Word,Part of speech,affixation,meaning,example,English example,source
sagahay,adjective,,overflowing,,,https://en.wiktionary.org/wiki/sagahay
Sagaynon,adjective,,resident or inhabitant of Sagay,,,https://en.wiktionary.org/wiki/Sagaynon
sagupra,adjective,,rough,,,https://en.wiktionary.org/wiki/sagupra
salamwanan,adjective,,choosy,,,https://en.wiktionary.org/wiki/salamwanan
samad,adjective,,cut,,,https://en.wiktionary.org/wiki/samad
saramaylo,adjective,,confused,,,https://en.wiktionary.org/wiki/saramaylo
sidlangan,adjective,,"east
Synonym: mulud-an",,,https://en.wiktionary.org/wiki/sidlangan
sip-onon,adjective,,sniveler; sniffler,,,https://en.wiktionary.org/wiki/sip-onon
sulud,adjective,,nominative plural of sulg,,,https://en.wiktionary.org/wiki/sulud
tahum,adjective,,"beauty, prettiness, attractiveness",,,https://en.wiktionary.org/wiki/tahum
tanan,adjective,,"everyone, everything, everybody",,,https://en.wiktionary.org/wiki/tanan
tanang,adjective,,"overripe, rotten",,,https://en.wiktionary.org/wiki/tanang
tanhaga,adjective,,"extraordinary, marvelous, wonderful",,,https://en.wiktionary.org/wiki/tanhaga
tarasak,adjective,,thoughtless; careless,,,https://en.wiktionary.org/wiki/tarasak
tayoyon,adjective,,"continuous, steady, without pause",,,https://en.wiktionary.org/wiki/tayoyon
tayuyon,adjective,,alternative spelling of tayóyon,,,https://en.wiktionary.org/wiki/tayuyon
tibunog,adjective,,"fat, plump, stout",,,https://en.wiktionary.org/wiki/tibunog
tiilan,adjective,,the lower part of,,,https://en.wiktionary.org/wiki/tiilan
tilinguhaon,adjective,,worthwhile,,,https://en.wiktionary.org/wiki/tilinguhaon
timbolog,adjective,,"round, spherical",,,https://en.wiktionary.org/wiki/timbolog
tipolon,adjective,,accusative singular of tipolo,,,https://en.wiktionary.org/wiki/tipolon
